PASS minimal/: 466 contacts, 5.09m route, peak -1.48
PASS minimal/bubbleStone: 471 contacts, 5.08m route, peak -1.48
PASS minimal/driftwoodArch: 496 contacts, 5.40m route, peak -1.48
PASS minimal/moonLantern: 489 contacts, 5.33m route, peak -1.48
PASS minimal/kelp: 466 contacts, 5.09m route, peak -1.48
PASS minimal/pearlShell: 523 contacts, 5.71m route, peak -1.48
PASS minimal/seaFan: 499 contacts, 5.41m route, peak -1.48
PASS minimal/bubbleStone+bubbleStone: 468 contacts, 5.09m route, peak -1.48
PASS minimal/bubbleStone+driftwoodArch: 563 contacts, 6.13m route, peak -1.48
PASS minimal/bubbleStone+moonLantern: 472 contacts, 5.09m route, peak -1.48
PASS minimal/bubbleStone+kelp: 472 contacts, 5.09m route, peak -1.48
PASS minimal/bubbleStone+pearlShell: 476 contacts, 5.16m route, peak -1.48
PASS minimal/bubbleStone+seaFan: 472 contacts, 5.09m route, peak -1.48
PASS minimal/driftwoodArch+driftwoodArch: 727 contacts, 7.87m route, peak -1.48
PASS minimal/driftwoodArch+moonLantern: 563 contacts, 6.13m route, peak -1.48
PASS minimal/driftwoodArch+kelp: 493 contacts, 5.36m route, peak -1.48
PASS minimal/driftwoodArch+pearlShell: 563 contacts, 6.13m route, peak -1.48
PASS minimal/driftwoodArch+seaFan: 493 contacts, 5.36m route, peak -1.48
PASS minimal/moonLantern+moonLantern: 487 contacts, 5.33m route, peak -1.48
PASS minimal/moonLantern+kelp: 487 contacts, 5.33m route, peak -1.48
PASS minimal/moonLantern+pearlShell: 548 contacts, 5.94m route, peak -1.48
PASS minimal/moonLantern+seaFan: 487 contacts, 5.33m route, peak -1.48
PASS minimal/kelp+kelp: 498 contacts, 5.38m route, peak -1.48
PASS minimal/kelp+pearlShell: 548 contacts, 5.94m route, peak -1.48
PASS minimal/kelp+seaFan: 520 contacts, 5.62m route, peak -1.48
PASS minimal/pearlShell+pearlShell: 506 contacts, 5.50m route, peak -1.48
PASS minimal/pearlShell+seaFan: 548 contacts, 5.94m route, peak -1.48
PASS minimal/seaFan+seaFan: 520 contacts, 5.62m route, peak -1.48
PASS coralGarden/: 495 contacts, 5.38m route, peak -1.48
